id,text
1000000001,确定
1000000002,取消
1000000003,等级：
1000000004,升级至
1000000005,净水
1000000006,钛钢
1000000007,石墨
1000000008,硅晶
1000000009,发展度
1000000010,等级
1000000011,万
1000000012,亿
1000000013,成功获得<color=#90EE90>%s</color>个<color=%s>%s</color>
1000000014,成功使用了<color=#90EE90>%s</color>个<color=%s>%s</color>
1000000015,指挥官！当前资源不足请注意检查！
1000000016,建造中
1000000017,卸载
1000000018,升级
1000000019,替换
1000000020,筛选
1000000021,跳过
1000000022,关闭
1000000023,暂未开发 敬请期待
1000000024,培养
1000000025,已装载
1000000026,升星
1000000027,重置
1000000028,%s星：
1000000029,点击空白区域关闭
1000000030,%s
1000000031,已拆解
1000000032,已满级
1000000033,已满星
1000000034,秒
1000000035,激活成功，获得%s个%s
1000000036,可进修
1000000037,出征中
1000000038,编队中
1000000039,进修中
1000000040,中止
1000000041,加速升级
1000000042,行军中
1000000043,发掘中
1000000044,战斗中
1000000045,驻守中
1000000046,住院中
1000000047,%s天%s小时%02s分%02s秒
1000000048,%s小时%02s分%02s秒
1000000049,%02s分%02s秒
1000000050,%02s秒
1000000051,时间:%s
1000000052,数量：%s/%s
1000000053,开始修理
1000000054,取消修理
1000000055,%s岁
1000000056,{0}秒
1000000057,[%s]
1000000058,等级%s  %s
1000000059,今日不再弹出此弹窗
1000000060,该特战兵正在特战学院进修，请进修完成后再派遣。
1000000061,装备
1000000062,发展度
1000000063,工业度
1000000064,宜居度
1000000065,算法归纳出的地下城发展程度数值。可视为地下城的繁荣程度指标。
1000000066,代表地下城工业发展程度的数值，工业度的均衡影响地下城的建造与生产效率。
1000000067,代表地下城整体环境状态的数值，提升宜居度会推动地下城的整体发展。
1000000068,尚未获得该类物资
1000000069,选择服务器
1000000070,爆满
1000000071,拥挤
1000000072,流畅
1000000073,维护
1000000074,%s服
1000000075,[推荐]
1000000076,新
1000000077,名称：
1000000078,等级：
1000000079,收藏
1000000080,一键读取
1000000081,删除已读
1000000082,邮件
1000000083,写信
1000000084,领取
1000000085,新建邮件
1000000086,收件人
1000000087,标题
1000000088,字色：
1000000089,发送
1000000090,请选择收件人
1000000091,请输入邮件标题
1000000092,请输入邮件正文
1000000093,选择联系人
1000000094,最近联系人
1000000095,联盟
1000000096,好友
1000000097,全选
1000000098,回复
1000000099,已领取
1000000100,当前暂无邮件
1000000101,当前暂无联系人
1000000102,%d小时后过期
1000000103,%d天后过期
1000000104,退出后已编辑内容不会被保存，是否确认退出？
1000000105,标题含有敏感词汇，是否替换后继续发送？
1000000106,内容含有敏感词汇，是否替换后继续发送？
1000000107,是否确认删除邮件？
1000000108,是否确认删除已读邮件？
1000000109,用户不存在
1000000110,发送失败
1000000111,发送成功
1000000112,请领取附件后再删除。
1000000113,请选择联系人
1000000114,请输入标题
1000000115,请输入正文
1000000116,奖励已被领取。
1000000117,达到物资负载上限。
1000000118,一键已读
1000000119,邮件预览
1000000120,添加
1000000121,智械体所在部队已离开地下城，无法执行此操作。
1000000122,全体联盟成员
1000000123,全体分组成员
1000000124,%s天%s小时%s分
1000000125,查看详情 >>
1000000126,交付物品
1000000127,重复转化
1000000128,回地下城
1000000129,转至全球
1000000130,转至基地
1000000131,物资储存已达上限，请整理后重试。
1000000132,指令员小传
1000000133,点击显示全部文本
1000000134,[-%s]
1000000135,总和
1000000136,储量
1000000137,总产量
1000000138,产量途径
1000000139,城内收益
1000000140,城外收益
1000000141,矿区收益
1000000142,联盟收益
1000000143,暂无
1000000151,自动拆解重复普通品质智械体。
1000000152,自动拆解普通及以下品质的微芯技能。
1000000153,%s后免费
1000000154,%s后结束
1000000155,%s *%s 
1000000156,基础资源
1000000157,资源产量
1000000158,地下城生产
1000000159,矿区生产
1000000160,科研增益
1000000161,顾问增益
1000000162,文明馆增益
1000000163,联盟增益
1000000164,研究
1000000165,已研究
1000000166,恒温值增产
1000000200,任务
1000000201,指挥官头像
1000000202,资源矿区
1000000203,净水
1000000204,好友
1000000205,邮件
1000000206,聊天
1000000207,跨州广播
1000000208,区域广播
1000000209,联盟广播
1000000210,系统广播
1000000211,排行榜
1000000212,战例史
1000000213,智控AI
1000000214,编队
1000000215,技能
1000000216,物资
1000000217,资源
1000000218,加速
1000000219,增益
1000000220,装备
1000000221,其它
1000000222,全部
1000000223,智械体
1000000224,特战兵
1000000225,建造
1000000226,建设型
1000000227,军事型
1000000228,宜居型
1000000229,搜索
1000000230,出城
1000000231,回城
1000000232,联盟
1000000233,成员
1000000234,科技
1000000235,设置
1000000236,贸易
1000000237,互助
1000000238,社交
1000000239,集结
1000000240,发展
1000000241,任务
1000000242,捐献
1000000243,日志
1000000244,资料设置
1000000245,审核
1000000246,联盟列表
1000000247,退出联盟
1000000248,解散联盟
1000000249,流浪计划
1000000250,剧情任务
1000000251,发展规划
1000000252,暂无权限调整联盟资料。
1000000253,暂无权限审核入盟申请。
1000000254,该职位人数已满，需先撤下再任命。
1000000255,需要输入3个字符。
1000000256,输入文本不符合简称要求。
1000000257,输入文本不符合全称要求。
1000000258,输入文本不符合全称要求。
1000000259,请输入联盟名称。
1000000260,%s不足。
1000000261,联盟资料未作任何修改。
1000000262,成功加入联盟。
1000000263,职位调整成功。
1000000264,提示文本13
1000000265,提示文本14
1000000266,提示文本15
1000000267,提示文本16
1000000268,提示文本17
1000000269,主线
1000000270,军资授权
1000000271,技能检索
1000000272,充电
1000000273,智控中枢
1000000274,进修
1000000275,基础交易
1000000276,特殊兑换
1000000277,训练
1000000278,收藏品
1000000279,植物
1000000280,动物
1000000281,艺术
1000000282,装备制造
1000000283,制造
1000000284,改造
1000000285,重组
1000000286,装备材料
1000000287,已经加入该联盟。
1000000288,随机任务
1000000289,顾问总览
1000000290,派遣入驻
1000000291,地格修缮
1000000292,顾问
1000000293,智械体构件
1000000294,智械体性能
1000000295,效果
1000000296,研究
1000000297,性能
1000000298,领地
1000000299,排行榜
1000000300,解散联盟
1000000301,提示文本18
1000000302,提示文本19
1000000303,敬请期待
1000000304,矿区
1000000305,矿上工程
1000000306,恒温器
1000000307,战略据点
1000000308,入城
1000000309,收起
1000000310,展开
1000000311,编队互换
1000000312,职位
1000000313,贸易所
1000000314,%s条报告待处理。
1000000315,说明
1000000316,奖励
1000000317,战报
1000000318,击溃敌军
1000000319,被击溃
1000000320,未分胜负
1000000321,成功占据
1000000322,拆除耐久
1000000323,成功摧毁
1000000324,成功占据
1000000325,成功抵御
1000000326,耐久损毁
1000000327,无归属
1000000328,中立
1000000329,远征基地
1000000330,战报详情
1000000331,已收藏
1000000332,取消收藏
1000000333,是否跳转至战斗地点？
1000000334,战前准备
1000000335,第%s回合
1000000336,状态切换
1000000337,战斗结束
1000000338,双方阵容
1000000339,支线
1000000340,解锁物品不足
1000000341,是否消耗物品解锁该建筑？
1000000342,该区域已无可建造位置。
1000000343,物品解锁
1000000344,建造数量达到上限
1000000345,算力不足，升级设备所或科研中心研究可获得更多算力。
1000000346,放弃
1000000347,查看建筑
1000000348,"%s-等级%s(%d,%d)"
1000000349,"%s(%d,%d)"
1000000350,删  除
1000000351,预备迁建
1000000352,类型
1000000353,前往获取
1000000354,战略技能
1000000355,防沉迷说明
1000000356,注销账户
1000000357,名称过长，最多可输入%s个字符！
1000000358,战略技能
1000000359,登录名不能包含英文字符
1000000360,服务器暂未启动
1000000361,用户名只能使用中文，数字和英文
1000000362,建造中：
1000000363,拆除中：
1000000364,修理中：
1000000365,充电中：
1000000366,停战时间：
1000000367,攻坚计时：
1000000368,占据中：
1000000369,放弃中：
1000000370,售罄
1000000371,服务器正在维护中，请稍后进行登录。
1000000372,由于长时间未进行操作，您已离线，请重新登录。
1000000373,操作异常，请重新登录。
1000000374,您的账号已在其他地方登录，请重新进入游戏。
1000000375,网络连接异常，请重新登录。
1000000376,未收到服务器响应，请尝试重新登录。
1000000377,角色已经存在
1000000378,未定义的错误码！ID：%s
1000000379,建筑武装效果
1000000380,加载成功
1000000381,开矿中：
1000000382,演练中：
1000000383,压制型
1000000384,强击型
1000000385,特战型
1000000386,抗击型
1000000387,协助型
1000000388,协助型
1000000389,重置中：
1000000390,查找联系人
1000000391,战技
1000000392,挑战计时：
1000000393,%s级%s
1000000394,连接服务器失败，请重试。
1000000395,
1000000396,
1000000397,
1000000398,
1000000399,制造
1000000400,档案任务
1000000401,        你所在的联盟%s盟主%s已申请解散联盟，本盟将在倒计时结束后解散。
1000000402,        你所在的联盟%s已被理事长%s解散。原联盟科技失效，部队属性加成、地下城建筑相关属性加成与地表建筑相关属性加成可能发生变化。
1000000403,        欢迎加入联盟，期待您与盟友们一同征战。
1000000404,        你已被%s联盟的%s踢出联盟。原联盟科技失效，部队属性加成、地下城建筑相关属性加成与地表建筑相关属性加成可能发生变化。
1000000405,        %s联盟拒绝了你的联盟申请。
